timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1514403825.812356,-1.255977,1.487354,-0.307351,-0.141188,-0.061058,0.065768,-0.079101,-0.996521,-0.025759,0.019012,-0.015091,0.031207,4.575195,-35.312313,-26.809631,,,,,,,1
1514403825.822335,-1.245133,1.486228,-0.318756,-0.124083,-0.055929,0.077587,-0.079881,-0.996426,-0.026975,0.020876,-0.000202,0.003080,4.575195,-35.312313,-26.809631,,,,,,,1
1514403825.832345,-1.233906,1.485155,-0.330647,-0.132666,-0.070714,0.064670,-0.080586,-0.996335,-0.028224,0.023411,0.001187,0.011272,4.678680,-35.392971,-26.666687,,,,,,,1
,,,,,,,,,,,,,,,,33.823692,-116.547409,139.958038,-1.000000,-1.000000,1514403820.802056,1
1514403825.842324,-1.222549,1.484156,-0.343015,-0.133853,-0.105985,0.059162,-0.081195,-0.996249,-0.029477,0.052005,-0.003614,0.012861,4.678680,-35.392971,-26.666687,,,,,,,1
1514403825.852303,-1.211881,1.483042,-0.355229,-0.138416,-0.176814,0.069535,-0.081917,-0.996152,-0.030733,0.028878,-0.001986,0.007463,4.281158,-35.194351,-26.553345,,,,,,,1
1514403825.862313,-1.202968,1.482036,-0.366592,-0.125841,-0.260168,0.051001,-0.082574,-0.996063,-0.031821,-0.012198,-0.004715,0.000724,4.281158,-35.194351,-26.553345,,,,,,,1
1514403825.872292,-1.196290,1.481387,-0.376155,-0.097035,-0.297419,0.025214,-0.082962,-0.996006,-0.032609,-0.011246,0.002124,0.003708,4.156799,-35.109444,-26.658142,,,,,,,1
1514403825.882272,-1.191260,1.480941,-0.384003,-0.079770,-0.266267,0.013618,-0.083210,-0.995966,-0.033190,-0.004406,0.001840,0.009158,4.156799,-35.109444,-26.658142,,,,,,,1
1514403825.892281,-1.186821,1.480752,-0.390667,-0.060250,-0.213579,-0.007503,-0.083235,-0.995949,-0.033629,-0.011492,0.005272,0.000243,3.793274,-35.042259,-26.895508,,,,,,,1
1514403825.902261,-1.182507,1.480682,-0.396946,-0.055850,-0.186718,-0.014862,-0.083155,-0.995942,-0.034015,-0.023778,0.011369,0.000125,3.793274,-35.042259,-26.895508,,,,,,,1
1514403825.912240,-1.177490,1.480608,-0.403565,-0.060023,-0.156687,-0.015806,-0.083051,-0.995936,-0.034460,-0.020403,0.011439,0.002691,3.978058,-34.959129,-26.998596,,,,,,,1
1514403825.922250,-1.172376,1.480598,-0.410102,-0.052448,-0.137365,-0.021054,-0.082883,-0.995935,-0.034888,-0.004931,0.014200,-0.005700,3.978058,-34.959129,-26.998596,,,,,,,1
1514403825.932229,-1.168606,1.480521,-0.415252,-0.045031,-0.147258,-0.005040,-0.082821,-0.995928,-0.035230,-0.001560,0.016772,-0.009432,3.755646,-34.815407,-26.990112,,,,,,,1
1514403825.942208,-1.166349,1.480281,-0.419076,-0.041894,-0.154984,0.010975,-0.082962,-0.995906,-0.035512,-0.004578,0.006587,-0.005641,3.755646,-34.815407,-26.990112,,,,,,,1
1514403825.952187,-1.164325,1.480044,-0.422574,-0.037593,-0.150671,0.007792,-0.083108,-0.995885,-0.035773,0.003548,0.000615,0.005896,3.446472,-34.820179,-26.927673,,,,,,,1
1514403825.962197,-1.162504,1.479846,-0.425656,-0.032102,-0.114245,0.005825,-0.083222,-0.995867,-0.036002,0.000169,0.003039,0.006904,3.446472,-34.820179,-26.927673,,,,,,,1
1514403825.972176,-1.161016,1.479709,-0.427930,-0.020174,-0.073546,0.002820,-0.083294,-0.995854,-0.036180,-0.009525,0.005666,0.003420,3.519989,-34.720146,-27.228516,,,,,,,1
1514403825.982156,-1.159397,1.479626,-0.430001,-0.018936,-0.033818,-0.004488,-0.083310,-0.995847,-0.036348,-0.015888,0.005399,0.004152,3.519989,-34.720146,-27.228516,,,,,,,1
1514403825.992165,-1.157669,1.479686,-0.431831,-0.011333,-0.009080,-0.013991,-0.083193,-0.995852,-0.036468,-0.013166,0.006671,0.004043,3.648529,-34.818871,-27.276672,,,,,,,1
1514403826.002145,-1.156009,1.479856,-0.433513,-0.004845,0.001750,-0.024627,-0.082977,-0.995868,-0.036538,-0.016404,0.007831,0.000542,3.648529,-34.818871,-27.276672,,,,,,,1
1514403826.012124,-1.154593,1.480151,-0.434934,0.000481,-0.012035,-0.036445,-0.082655,-0.995895,-0.036536,-0.017488,0.010421,-0.008295,3.513794,-34.858170,-27.158081,,,,,,,1
1514403826.022134,-1.152450,1.480527,-0.437399,-0.010288,-0.036528,-0.044061,-0.082235,-0.995928,-0.036561,-0.004145,0.011828,-0.004821,3.513794,-34.858170,-27.158081,,,,,,,1
1514403826.032113,-1.148952,1.480872,-0.441534,-0.023279,-0.080368,-0.046418,-0.081793,-0.995960,-0.036708,0.000189,0.002475,0.003962,3.472351,-34.754204,-27.116943,,,,,,,1
1514403826.042092,-1.144799,1.481137,-0.446966,-0.037420,-0.141395,-0.044576,-0.081397,-0.995983,-0.036937,-0.007165,-0.004856,0.011470,3.472351,-34.754204,-27.116943,,,,,,,1
1514403826.052102,-1.139639,1.481267,-0.453916,-0.056897,-0.192860,-0.035215,-0.081086,-0.995995,-0.037301,-0.010451,-0.006355,0.017114,3.476929,-34.868324,-27.122498,,,,,,,1
1514403826.062081,-1.133282,1.481217,-0.462370,-0.074093,-0.207902,-0.026755,-0.080893,-0.995990,-0.037837,-0.001672,-0.004681,0.013515,3.476929,-34.868324,-27.122498,,,,,,,1
1514403826.072060,-1.126266,1.481155,-0.471598,-0.081667,-0.233520,-0.031162,-0.080679,-0.995985,-0.038430,0.011984,-0.000460,0.006768,3.445312,-34.670509,-27.320129,,,,,,,1
1514403826.082070,-1.118316,1.481006,-0.482199,-0.095718,-0.268869,-0.027066,-0.080506,-0.995972,-0.039136,0.014237,0.001388,0.004559,3.445312,-34.670509,-27.320129,,,,,,,1
1514403826.092049,-1.109773,1.480791,-0.493737,-0.104437,-0.313812,-0.028351,-0.080361,-0.995952,-0.039917,0.005822,-0.001118,0.001541,3.282745,-34.571152,-27.189453,,,,,,,1
1514403826.102029,-1.101079,1.480585,-0.505987,-0.111050,-0.368371,-0.031816,-0.080194,-0.995934,-0.040708,0.009058,0.005821,-0.005145,3.282745,-34.571152,-27.189453,,,,,,,1
1514403826.112038,-1.093232,1.480206,-0.517940,-0.112379,-0.420112,-0.007448,-0.080211,-0.995899,-0.041510,0.014293,0.017918,-0.007302,2.809235,-34.495544,-27.300171,,,,,,,1
1514403826.122018,-1.087874,1.479605,-0.527387,-0.099522,-0.397985,0.016204,-0.080517,-0.995845,-0.042217,0.001583,0.013957,-0.004688,2.809235,-34.495544,-27.300171,,,,,,,1
1514403826.131997,-1.085743,1.479229,-0.532995,-0.050047,-0.334824,0.004808,-0.080758,-0.995811,-0.042563,-0.004585,-0.007836,-0.012383,2.846954,-34.649685,-27.525208,,,,,,,1
1514403826.142007,-1.085876,1.479182,-0.535839,-0.019859,-0.285427,-0.013102,-0.080806,-0.995806,-0.042575,-0.002019,-0.015470,-0.005444,2.846954,-34.649685,-27.525208,,,,,,,1
1514403826.151986,-1.085718,1.479542,-0.539017,-0.007045,-0.321317,-0.056024,-0.080482,-0.995839,-0.042421,-0.000053,-0.011470,0.000551,2.521667,-34.610199,-27.274231,,,,,,,1
